OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 34 | Minha Posição: (48.7586,526.6,0) |  |  |  | Velocidade: 7.23343 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (507.115,526.6,0) |  |  |  | Velocidade: 11.0783 | Aceleração: 3.84488 m/s²
Meu ID: 22 | Minha Posição: (332.23,526.6,0) |  |  |  | Velocidade: 14.409 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (196.703,526.6,0) |  |  |  | Velocidade: 14.2912 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (58.0601,526.6,0) |  |  |  | Velocidade: 9.30153 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (513.694,526.6,0) |  |  |  | Velocidade: 6.57831 | Aceleração: -2.72322 m/s²
Meu ID: 22 | Minha Posição: (346.474,526.6,0) |  |  |  | Velocidade: 14.2435 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (209.949,526.6,0) |  |  |  | Velocidade: 13.2451 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (68.9748,526.6,0) |  |  |  | Velocidade: 10.9147 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.617,526.6,0) |  |  |  | Velocidade: 2.92376 | Aceleração: -7.99091 m/s²
Meu ID: 22 | Minha Posição: (360.01,526.6,0) |  |  |  | Velocidade: 13.5358 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (223.503,526.6,0) |  |  |  | Velocidade: 13.5547 | Aceleração: inf m/s²
